keywords,organization_name,website,mission_description,population_focus,time_commitment,cost,languages_courses,address,city,state,zip,locations,leadership_contact,title,email,phone_number,when_founded
"Adult learning, in-person, bootcamps, web development, full-time, apprenticeships, mentors",Software Craftsmanship Guild,http://swcguild.com/,"The Software Craftsmanship Guild seeks to help people passionate about technology gain the necessary skills to contribute to enterprise development teams. It offers a 12-week software developer training that uses apprenticeship principles to help individuals get a jump start on software developer careers.  You will be taught practical applications of taking a web application from start to finish. This includes a database layer, a middle tier/service layer, and a user interface layer. Currently in the Akron, OH region the number of job opportunities in the Microsoft stack far outnumber other opportunities, so their current offerings are focused there. Specifically you will gain experience with the .NET Framework (C# and VB.NET), SQL Server and the T-SQL language, WCF Services, object oriented architecture patterns, unit testing, HTML/5, CSS, JavaScript/jQuery, source control, and fundamentals of software project management.",Various skill levels,12 weeks,"$10,000; Refund 50% via job program",".NET Framework (C# and VB.NET), SQL Server and the T-SQL language, WCF Services, object oriented architecture patterns, unit testing, HTML/5, CSS, JavaScript/jQuery, source control, and fundamentals of software project management",526 S Main St,Akron,OH,,"Akron, OH",,,contactus@swcguild.com,,2013
"Youth learning, in-person, middle school, high school, underrepresented, game development",Software Development for Kids ,http://sdkbridge.com/youth.php,The Software Development for Kids (SDK) project was created to give middle and high school students the chance to experience more than the learning how to use a commercial software product. The goal is to work with kids — especially from underrepresented groups — to consider careers in the field of technology. We teach creative technology classes that either involve computer programming or some kind of human-computer interface that goes beyond keyboard and mouse.,"Middle & high school youth, underrepresented groups",,,"Scratch, Kodu, json, xml","SDK Bridge, LLC
1035 NE 94th St",Seattle,WA,98115,"Seattle, WA",,,info@sdkbridge.com,,
"Youth learning, software/app, programming language, game development",Stagecast Creator,http://www.stagecast.com,"Stagecast Creator is an application for building interactive 2-D simulations, stories, games, and more.  Starting with a blank stage, users add a cast of characters and then move the characters around to visually generate ""rules of behavior.""  Students can create simulations that demonstrate concepts in science, math, or other subjects, or they can make games to share with friends.  In the process, they apply basic computer science concepts in an object-oriented programming environment -- without needing to learn a programming language.  Easy to learn, the software includes a self-paced tutorial.",Grades 1 - 10,Self-paced,"Free evaluation version
Prices vary for consumer and school licenses",,"1325 Howard Ave., #705",Burlingame,CA,94010,,,,info@stagecast.com,(650) 599-0399,1997
"Adult learning, online, computer science",Stanford Engineering Everywhere,http://see.stanford.edu/see/courses.aspx,"Stanford is offering some of its most popular engineering classes free of charge to students and educators around the world. Stanford Engineering Everywhere (SEE) expands the Stanford experience to students and educators online. A computer and an Internet connection are all you need. View lecture videos, access reading lists and other course handouts, take quizzes and tests, and communicate with other SEE students, all at your convenience.

SEE programming includes one of Stanford’s most popular sequences: the three-course Introduction to Computer Science taken by the majority of Stanford’s undergraduates and seven more advanced courses in artificial intelligence and electrical engineering.",Anyone,Self-paced,Free,Intro to computer science,,,,,N/A,,,see-information@lists.stanford.edu,,
"Youth learning, in-person, elementary, middle school, high school, mentors, chapter-based",STARS Computing Corps,http://www.starscomputingcorps.org/,"STARS Computing Corps is a national community of regional partnerships with a mission  to grow a  diverse  21st century technology workforce.  The Corps is a framework for integrating engagement into computing departments for recruitment and graduation of undergraduate and graduate students, and each location implements its own programs.

Utilizing its innovative STARS Leadership Corps program, a curricular or co-curricular service-learning program for college students, Corps students collaborate with regional K-12 schools, industry, and community partners to inform, engage, and prepare upcoming students for entry and success in college computing programs. Through student-led regional engagement that includes peer mentoring, team projects, and research experiences, STARS Computing Corps students are emerging as the future innovators of tomorrow.","K-12, College, Faculty",Varies,Free,Various,"HQ: University of North Carolina at Charlotte, College of Computing and Informatics, 9201 University City Blvd.",Charlotte,NC,28263,"National, 51 universities and colleges",Karen Bean,,karen.bean@uncc.edu,(704) 687-8380,2006
"Youth learning, in-person, elementary, middle school, high school, mentors",Start Code,http://www.startcode.net/,"Start Code is a place where students learn to create with technology while working together with friends and becoming future innovators. They teach computer programming in a flexible environment that combines class and lab time with coaching and mentoring. Students learn not only how to program and create software but also learn how to apply these skills through projects and team activities. Programming labs are organized by age, subject, and programming tools.","Elementary, middle, and high school",Varies,Fee per program,"Scratch, Python, Java, Robotics, etc.",2991 North Druid Hills Rd,Atlanta,GA,30329,"Atlanta, GA",,,geek@startcode.net,(404) 507-2772,2012
"Youth learning, in-person, afterschool, high school, web development, mobile, UX, underrepresented, Black founder",Start Tag,http://starttag.org/,"Start Tag is a nonprofit that was formed in order to bridge the learning and diversity gap in the web technology fields. The program partners with local high schools to provide a free after-school program that teaches students foundational skills, techniques, and processes in web design and development. Our program runs the gamut from web design and user interaction to development of web and mobile applications. ",High school,,Free,"CSS, HTML, JavaScript, Logo, Mobile Apps, MySQL, PHP, SQL, UI/UX, web design, XML, XSLT",,,,,"Greenbelt, MD",,,info@starttag.org,,2012
"Adult learning, in-person, bootcamps, web development, mentors, full-time, part-time",Starter League,http://www.starterleague.com,"The Starter League is a 11-week programming boot camp in Chicago, IL, that teaches people how to build web applications.  While providing top-notch instruction and mentorship from the best developers Chicago has to offer, The Starter League also empowers students through a network of Chicago’s best entrepreneurs, investors, and companies to help people make their ideas real on the web.",Various skill levels,11 weeks,"$8,000","Ruby on Rails, web development, CSS & HTML, JavaScript, and User Experience",222 W. Merchandise Mart Plaza,Chicago,IL,60654,"Chicago, IL",Neal Sales-Griffin,Co-Founder and CEO,hello@starterleague.com,,2011
"Adult learning, in-person, bootcamps, web development, entrepreneurship",Starter School (by Starter League),http://www.starterschool.com/,"Starter School is the grad school for people who want to learn how to build software and start companies. In 9 months, full-time Monday through Friday, you will learn how to build a web application that you care about. You'll be immersed in engaging classroom sessions with hands-on labs, deep-dive workshops, and focused product development. You'll apply what you're learning to your own ideas at every step. Each step of Starter School is designed to build on top of the preceding one. In phase one, you will get a solid foundation in web development and entrepreneurship. In phase two, you will learn how to effectively design user interfaces and continue to develop your programming skills. In the final phase, you will unite all of your abilities in order to ship a web application that you care about.",Various skill levels,9 months,"$12,000 per quarter, excluding housing, materials, and personal expenses. One-time only discount of $3,000 dollars for students in our first class, for a total tuition cost of $33,000.","Web design, web development, entrepreneurship, & product development",,,,,"Chicago, IL",,,hello@starterschool.com,,2013
"Adult learning, in-person, bootcamps, full-time",Startup Institute,http://www.startupinstitute.com/,"Startup Institute Boston/New York works with professionals, career changers, and dynamic individuals to equip them with the skills needed to have an immediate impact on the startup company they join. The program is a full-time, immersive, two month experience that will catapult you into Boston's technology ecosystem in the areas of web development, product and design, marketing, or sales and business development. They're also connected to RampUp, which is a part time deep-dive into a specific skill set.",Various skill levels,2 months,"$3,750; $1,000 discount for paying upfront; $2,750 reimbursement with job placement","Ruby on Rails Essentials; Developer Best Practices; Git basics: coding cooperatively with Github; Cloud concepts, Heroku and AWS; Postgres, Mongo; JavaScript","1 Cambridge Center, 6th Floor",Cambridge,Massachusettes,2142,"Chicago, IL; Boston, MA; New York, NY",Shaun Johnson,Co-Founder,info@startupinstitute.com,,2012
"Youth learning, entrepreneurship, design, engineering",StartupBox South Bronx (SB^2),http://sbsq.org/,"StartupBox South Boronx offers world class programs in technology, engineering, design and entrepreneurship to local youth, delivers extensive community outreach services, and provides support to local early-stage companies in order to connect the promise and excitement of the Tech industry with the extraordinary creativity of the South Bronx. In one unique space, SB^2 brings together students, startups, and community members to learn from and inspire one another.",,,,,,,,,"Bronx, NY","Majora Carter, Lyel Resner, & Jon Santiago",Co-founders,info@sbsq.org,,2012
"Youth learning, in-person, certification, IT, hardware repair, operating systems, software applications, networking, school-based, afterschool",Student Tech Corps (Program of Tech Corps),http://home.techcorps.org/index.php/schools/programs/student-tech-corps,"Student TECH CORPS® delivers tech support training and certification to middle and high school students, and then harnesses their knowledge to power a Student-Run Help Desk to provide valuable technical support in their school buildings or communities.  This program may be run during the school day as a part of the regular curriculum, during study hall or as an afterschool activity.","Middle School, 6th – 8th and High School, 9th – 12th","30+ hours of online training, plus help-desk activities",,,"112 Jefferson Ave., #3",Columbus,OH,43215,"Columbus, OH",,,media@techcorps.org,(614) 583-9211,
"Youth learning, in-person, web development, project management, summer, school-based, afterschool",Student Web Corps (Program of Tech Corps),http://home.techcorps.org/index.php/schools/programs/student-web-corps,"Student WEB CORPS provides high school students with a suite of web development, project management and professionalism skills and then challenges them to apply those skills in the authentic task of building a website for a small business or nonprofit organization in their community. This program may be run during the school day as a summer experience or after-school activity.",Grades 9-12,100+ hours of programming,,,"112 Jefferson Ave., #3",Columbus,OH,43215,"Columbus, OH",,,media@techcorps.org,(614) 583-9211,
"Youth learning, summer, events",StudentRND,http://studentrnd.org/,"In Seattle, StudentRND's built an incredible community around an event during the school year called CodeDay, and an 8-week summer program called the StudentRND Labs. At CodeDay, they encourage everyone to build something they think is awesome, and at the StudentRND Incubator, teams build something that other people think is awesome, too.  They also host fun community events and meetups at StudentRND over the year. ","Youth, high school, college",,,,"1405 132nd Ave NE, Suite 3",Bellevue,WA,98005,"Bellevue, WA",Edward Jiang,CEO,edj@studentrnd.org; contact@studentrnd.org,"(425) 780-7901, ext 1",2009
"Youth learning, post-secondary, in-person, summer, internships, workforce development, quality assurance",SummerQAmp,http://www.summerqamp.org/,"SummerQAmp (nonprofit) is a nationwide initiative to train a new workforce in tech skills and create tech jobs for America's youth. During the SummerQAmp internships, participants are provided with fundamental understanding of how software works and are given access to an educational resource to assist them in preparing for a potential career in software development.

Sparked by a conversation between GroupMe co-founder, Steve Martocci, and musician Jon Bon Jovi, SummerQAmp was created in 2012 as part of the White House’s Summer Jobs+ initiative. The goal of SummerQAmp is to introduce Quality Assurance (QA) as a potential career path to American youth (ages 18-24) who are unaware of the opportunity by allowing them to gain valuable work experience as summer interns at software companies.",Ages 18-24,,,,,,,,"New York, NY; San Francisco, CA; Silicon Valley, CA; Boston, MA; Austin, TX; Los Angeles, CA; Chicago, IL; Atlanta, GA; Washington, DC","Aneesh Chopra, Michael Denton",,info@summerqamp.org,,
"Youth learning, teacher development, workshops, online community, mentors, tutors",Taste of Computing,http://tasteofcomputing.org/,"The goal of Taste of Computing is to improve and expand computer science (CS) education at the high school level throughout the Chicago Public Schools (CPS) system.  The focus is the creation of a high-quality CS course that will serve primarily as the introductory course for all tracks of the three-year CPS Career and Technology Education InfoTech (CTE InfoTech ) program offered at 32 high schools. The course is likely to be offered also as a Mathematics elective and will be a great preparatory course for the new AP Computer Science Principles (APCS) being developed.

An integral part of Taste of Computing is a comprehensive teacher training course that will include a week-long summer workshop, a series of 8 professional development mini-workshops spread throughout the following year, a monitored online community to support the teachers, and after-school tutoring and mentoring for the students to be delivered by trained students as part of service learning courses or student group efforts. The year-long training course will be administered through DePaul’s Institute for Professional Development and will carry 3 semester college credit hours.",Teachers of computer science,,,,"College of Computing and Digital Media, DePaul University, 243 S. Wabash Avenue",Chicago,IL,,"Chicago, IL",Dr. Theresa Steinbach,,tsteinbach@cdm.depaul.edu,,
"Adult learning, online",Teaching Tree,http://www.teachingtree.co/,TeachingTree is an open platform that lets anybody organize educational content. The goal is for students to quickly access the exact clips they need in order to learn individual concepts. Everyone is encouraged to help by adding videos or tagging concepts.,Various skill levels,Self-paced,,"Computer science, programming, math",,,,,N/A,,,whatsup@teachingtree.co,,2012
"Youth learning, online, teacher resources",TeachingKidsProgramming.org,http://teachingkidsprogramming.org/,Teaching Kids Programming is a non-profit organization of volunteer programmers and school teachers who have developed a framework designed specifically for teaching basic programming to children aged 10 and up. TKP is a designated project of the Mona Foundation.,Ages 10+,Self-paced,Free,"Java, Kodu, C#, Microsoft SmallBasic, T-SQL",,,,,N/A,"Lynn Langit, Llewellyn Falco",Co-founders,info@monafoundation.org,,2009
"Adult learning, online, bootcamps, web development",Tealeaf Academy,http://gotealeaf.com/,Tea Leaf Academy helps you learn modern web development with Ruby on Rails with an intensive online bootcamp.,Various skill levels ,4 weeks + 4 weeks + 8 weeks,Introduction to Ruby and Web Development: $475 for 4 weeks ; Rapid Prototyping with Ruby on Rails: $610 for 4 weeks; Build Production Quality Applications: $1485 for 8 weeks; (discounts available),"Front-End, Ruby on Rails",,,,,N/A,,,"
apply@gotealeaf.com",,
"Adult learning, youth learning, teacher development, computer science",TEALS,http://tealsk12.org,"TEALS (Technology Education And Literacy in Schools) (nonprofit pending) is a grassroots employee driven program that recruits, mentors, and places high tech professionals who are passionate about digital literacy and computer science education into high school classes as part-time teachers in a team teaching model where the school district is unable to meet their students' Computer Science needs on its own. TEALS works with committed partner schools to eventually hand off the CS courses to the in-service teachers we team teach with so that the school will be able to maintain and grow a sustainable CS program on their own. ","Ages 14-18, high school AP students",,,"AP Computer Science, Intro to Computer Science",,,,,"For 2013-14 school year, TEALS is partnered with 65 schools in 12 states (CA, DC, NY, UT, VA, WA, MN, AK, ND, MA, KY, NC).",Kevin Wang,,kevin@tealsk12.org,,
"Youth learning, campaign, advocacy",Tech Corps,http://home.techcorps.org/,"Tech Corps aims to challenge volunteers to help inspire & educate K-12 students about the technology & computer science industry. The TECH CORPS mission is to create a technologically literate society in which all K-12 students have equal access to the technology skills, programs and resources that will enrich their education and allow them to successfully compete in the global workforce.",K-12,,,,"112 Jefferson Ave., #3",Columbus,OH,43215,"Columbus, OH",,,media@techcorps.org,(614) 583-9211,1995
"Youth learning, in-person, girls, network, middle school, workshops, mentoring, events, resources, summer camp",Tech Girlz,http://www.techgirlz.org/,"Tech Girlz is a non-profit organization dedicated to helping adolescent girls understand that a future in technology does not necessarily equate to ‘a boring computer job,’ but instead transcends the cubicle into nearly every field imaginable. The organization provides workshops on coding, technology, and entrepreneurship for middle school girls.",Middle school girls,,,"Python, User Experience, Raspberry Pi, Monbile App development,",,Philadelphia,PA,,"Philadelphia, PA",Tracey Welson-Rossman,Founder,info@techgirlz.org,(215) 690-1182,2010
"Youth learning, in-person, workshops, summer",Tech Kids Unlimited,http://www.techkidsunlimited.org/,"Tech Kids Unlimited (TKU) is a technology-based educational organization, for kids ages 7 to 18 with special needs, which empowers and inspires the next generation of digital natives to learn, create, develop and share the tools of technology. TKU teaches technology to kids who learn differently. They also expose special needs students to technology learning that they have not had in the classroom – including software like Photoshop, Illustrator, IMovie, GarageBand, gamesalad, Podcasting, computer programming languages, and physical computing through a series of technology workshops.",Ages 7-18,Varies,Fee per course,,"Tech Kids Unlimited
c/o ALLEY NYC
500 7th Avenue, Floor 17A",New York,NY,10018,"New York, NY",,,beth@techkidsunlimited.org,,2010
"Adult learning, youth learning, in-person, bootcamps, youth camps",Tech Talent South,http://www.techtalentsouth.com/,"Tech Talent South offers full and part-time programs to give students a great foundation in web development. Students will learn Ruby on Rails, Domain Modeling, HTTP and ""RESTful"" Design, HTML/CSS, Javascript and AJAX, and understanding APIs. Students eager to make a career change, start their own business, or make the world a better place through technology are great candidates for Tech Talent South's 8-week programs. The organization also offers beginning game development and youth code camps.","Adults, youth ages 8-14",8 weeks,"$4250 part-time, $6250 full-time","Ruby on Rails, Domain Modeling, HTTP, ""RESTful"" Design, HTML/CSS, Javascript, AJAX, APIs",,,,,"Atlanta, GA; Asheville, NC",,,info@techtalentsouth.com,(404) 491-9887,
"Youth learning, in-person, girls, network, workshops, mentors, events, tutorials, resources",Tech-Girls,http://www.tech-girls.org/,"Tech-Girls is all about empowering girls to imagine and achieve their future dreams in our tech-savvy world. The organization is part gathering resources from around the world to help girls get connected to tech programs & mentors, part community learning tech together and part local program working directly with girls through workshops and events to inspire them to share their vision with the globally connected community.",Girls,,,"Scratch, varies",,,,,"Charlottesville, VA",,,kim@tech-girls.org,,2012
"Adult learning, in-person, mentoring",TechCareerHQ,http://techcareerhq.com/,"Provides individualized, project-based, one-to-one learning from current software engineers  to folks who want to learn to program.",Various skill levels,Self-paced,,,521 Castro St,San Francisco,CA,94114,"San Francisco, CA",,,,,
"Youth learning, in-person, robotics, programming, mobile, web development, chapter-based",Techie Camp (Program of Tech Corps),http://home.techcorps.org/index.php/schools/programs/techie-camp,"Techie Camp is a full day, week long program designed to engage elementary and middle school students in hands-on, interactive STEM-related activities.  Students take a deep dive into subject matter focused on Robotics, Programming, Android App or Web Development and emerge with skills that are useful in today’s' classroom and tomorrow's workplace.",Grades 3-8,"Full day, week-long (approx. 40 hours)",Varies,"App Inventor, Alice, Scratch, KompoZer","112 Jefferson Ave., #3",Columbus,OH,43215,"Columbus, OH",,,media@techcorps.org,(614) 583-9211,
"Youth learning, in-person, girls, summer, camps",Techie Camp: Girl Power program (Program of Tech Corps),http://home.techcorps.org/index.php/component/k2/item/241-techie-camp-girl-power,"TECH CORPS will offer its TECHie Camp: Girl Power program to 60 central Ohio elementary school girls.  This full day, week-long summer program is designed to engage students in hands-on, interactive STEM-related activities.  The girls will take a ""deep dive"" into subject matter focused on Programming and emerge with knowledge, concepts and skills that are useful in today's classroom and tomorrow's workplace.  In addition to the technical aspects of the camp, the girls also participate in activities designed to improve their self-concept, self-esteem and dispel the myth that only boys/men are engaged and successful in computing related educational and career pathways. TECH CORPS will work directly with students participating in summer programs offered by the Girls Scouts of Ohio’s Heartland, Homeport Columbus, and KIPP Central Ohio. ",Central OH elementary school girls,1 week,,,,,,,"Columbus, OH",,,,(614) 583-9211,
"Youth learning, in-person, web development, robotics, 21st century skills, STEM, hardware, software, social media",Techie Club (Program of Tech Corps),http://home.techcorps.org/index.php/students/techie-club,"Techie Club includes 40+ hours of hands-on, interactive activities tied directly to national technology standards for 3rd – 6th grade students. The lessons focus on a variety of computing topics, such as Computer Programming, Web Development, Hardware, Software, Internet, Digital and Social Media, Technology Careers, and Robotics.  The program also promotes 21st century skills and provides students with an awareness of technology and STEM-related careers. This program was created with support from the American Electric Power Foundation.",Grades 3-6,40+ hours of lessons and activities,,,"112 Jefferson Ave., #3",Columbus,OH,43215,"Columbus, OH",,,media@techcorps.org,(614) 583-9211,
"Youth learning, girls, middle school, in-person, summer, camps, AspireIT",Techie Girls,https://www.ncwit.org/programs-campaigns/aspirations-computing/aspireit-2013-programs,"In Techie Girls, Crystal Hsieh has designed a week-long summer camp to inspire in girls a love for computer science. The camp will provide a sampling of web design, programming, graphics, and game design using Storytelling Alice, Scratch, and Code Academy. Crystal has a long history in coordinating programs and working with youth through Key Club and Model United nations at her high school, as well as the City of Irvine Youth Action Team. She also designed and taught a website development program at a local Girls Inc. center. ",Middle school girls,,,"web design, programming, graphics, and game design using Storytelling Alice, Scratch, and Code Academy",,,,,"Irvine,  CA",Debra Richardson,Donald Bren School of Information and Computer Sciences,djr@ics.uci.edu,(949) 824-3074,
"Youth learning, in-person, summer, camps, LEGO, animation, game development, internships, workshops, robotics",TechKnowHow,http://www.techknowhowkids.com/,"TechKnowHow offers fun and enriching Computer and LEGO® Summer Day Camps for students, ages 5-14, in the San Francisco Bay Area.

Our Summer Camp classes include LEGO® projects with motors, NXT® Robotics, Electronics, Stop-Motion Animation, and Game Design. Classes feature high-interest, age-appropriate projects which teach technology and science skills.",Ages 5-14,week-long camps,Summer camps range $160/week to $385/week depending on class type,Gml (gamemaker language),"TechKnowHow, Inc. 
553 Pilgrim Drive, Suite D ",Foster City,CA,94404,"Foster City, CA",,,campinfo@techknowhowkids.com,(650) 638-0500,1994
"Youth learning, in-person, girls, competitions, mobile, entrepreneurship, chapter-based",Technovation Challenge,http://iridescentlearning.org/programs/technovation-challenge/about/,"Technovation Challenge (nonprofit) is a competition to offer girls the opportunity to learn how to start a company and become high-tech entrepreneurs. girls develop an app that solves a problem in their local community. Over 12 weeks, girls step through an online curriculum that helps them develop a potential solution and program a mobile phone application to solve it. The winning team will receive $10,000 in funding and support to complete app development and release their app on the market.",High school girls,12 weeks,Free,App Inventor,,,,,National,Angélica Torres,"Senior Director, Technovation Challenge",angelica@iridescentlearning.org,,2009
"Youth learning, in-person, winter, spring, summer, camps, game development, animation, web development, LEGO, robotics, resources",TechPlayzone,http://www.techplayzone.com/,"Technology Camps are offered during the Winter, Spring, and Summer Breaks for students in the Tampa Bay Area. Tech Camps feature innovative themes each season for students interested in Video Game Creation, Web Animation, and Digital Movie Making. Camp attendees use their creativity and innovation to create ""social impact"" games, web pages, and digital movies. ",Youth,,Varies,,P.O. Box 1766,Valrico,FL,33595,"Valrico, FL",,,techplayzone@gmail.com,(813) 684-7329,2005
"Adult learning, in-person, workforce development, web development, multimedia, mobile, IT, workshops, mentors, internships, certification",TechSF,https://bavc.org/techsf,"TechSF offers training in high growth IT occupations, including Networking, Tech Support, Programming, Mobile Development and Multimedia, in order to prepare San Francisco's residents for entry into dynamic careers in the Information Technology Industry. TechSF will provide vocational skills training, work experience opportunities and offer job placement assistance and career advancement to training participants and other individuals working in the IT field.  TechSF is offered through Bay Area Video Coalition, BayView Hunter's Point Center for the Arts & Technology, City College of San Francisco and Year Up Bay Area in collaboration with West Ed and the Office of Economic and Workforce Development, with funding from the U.S. Department of Labor. Trainings are led by AcademyX.","To qualify for free training, participants must be unemployed or be under-employed (freelancers welcome!), be 18 years or older, and be able to work in the U.S. Applicants must have some prior programming experience (e.g. PHP, Java, Javascript, Assembly, or even an older language like COBOL) plus basic HTML.",3 months to 1 year,Free courses available for those who qualify,,,,,,"San Francisco, CA",,,techsf@bavc.org,(415) 861-3282,2013
"Youth learning, teacher development, competitions, school-based, computer science, IT, engineering, robotics, web development, game design, LEGO",TechStart Education Foudation,http://www.techstart.org/,"TechStart is a 501(c)3 nonprofit that promotes wider access to technology education for K-12 students in order to strengthen the skills they need to thrive in the global economy. The organization provides teacher training and student enrichment activities that incorporate computer science, information technology and engineering education in Oregon K-12 schools. TechStart is founded and supported by the Technology Association of Oregon and its members.",K-12,,,Various,"222 NW Fifth Avenue, 3rd Floor ",Portland,OR,97209,"Portland, OR",,,info@techstart.org,,2003
"Adult learning, in-person, workforce development, bootcamp, underrepresented",Telegraph Academy,http://www.telegraphacademy.com/,"Telegraph Academy is a Software Engineering accelerator for people of color. 

The curriculum is built in partnership with Hack Reactor, the leading software engineering school in the San Francisco Bay Area. Over the first 6 weeks you’ll be introduced to industry leading technologies, concepts, and practices to prepare you with the skills to succeed in the current job market.

You will spend the latter half of the course building industry-grade applications. You'll work in a group setting, use test-driven-development, and agile methodologies that you will use everyday as a Software Engineer. You'll then assemble your portfolio and resumé that shows companies you're ready to immediately join their team.",Adults of color,12 weeks - 6-day/week schedule from 9am-8pm,"$17,725 - All admitted applicants are guaranteed financial aid or a scholarship, and your financial situation is not an admissions factor. We offer a variety of financing options such as Pay-It-Forward scholarships and full deferral plans. If you can cover your food and lodging for 13 weeks, you can afford Telegraph Academy.",Javascript,,Oakland,CA,,"Oakland, CA",Albrey Brown,Co-founder,admissions@telegraphacademy.com,,2015
"Youth learning, summer, camps, game development",Tera Byte Video Game Creation Camp,http://terabytegames.com/,Tera Byte Video Game Creation Camp teaches youth beginning and advanced game creation and JavaScript programming through summer camps.,Grades 3-8,4 days,$399/week,,4444 Gloster Rd.,Dallas,TX 75220,,"Dallas, TX",Jake Galant,Camp Director,jake@terabytegames.com,,2004
"Adult learning, in-person, bootcamps, workshops, web development, mobile, apprenticeship, Black founder",The {c}0dEd,http://thecoded.com/,"The {c}0dEd teaches all elements of web and mobile app development via team exercises, utilizing immersive learning methods.  The {c}0dEd App Factory is a combination of the {c}0dEd coding curriculum mixed in with business development education, specifically geared towards aspiring tech entrepreneurs. The first App Factory bootcamp has live-streaming and in-person training.  Each participant of the bootcamp will develop an app business idea, create an iPhone and Android app, launch a responsive support website for the app, integrate an e-commerce and/or ad-based monetization model into the app, file a provisional patent for their app process, and develop materials to pitch their app business to customers and investors by the end of the course. 

The {c}0dEd recently added an apprenticeship program where folks from any background (marketing, law enforcement, legal, theatre) select one of their 6 app companies.  Once they pick an app, they begin to develop for it with a staff person.  Apprentices get hands-on experience.  There is no charge for the apprenticeship program.  They pay with their time.  For example, if they take 3 hours to learn programming, they commit 3 hours to help with whatever the company needs help with outside of coding. ",No programming experience necessary.,"3 months; For the upcoming bootcamp, we are offering 2 sessions: one for weekdays (Tues and Wednesday 6:30-9pm).","$2,450","PHP, JS, HTML, Mobile, Full-stack",1120 Avenue of the Americas,New York,NY,10036,"New York, NY",Mike De'Shazer & Vincent Chen,Co-founders,m@thecoded.com; m@mikedeshazer.com,(917) 524-9962,
"Adult learning, in-person, bootcamps",The Designation,http://thedesignation.co/,"The Designation is a group of passionate designers who have come together to build a purely design-focused school. The program is a 10-week course in the city of Chicago, where you will learn all the fundamentals of digital design. The bootcamp involves weekly classroom sessions on Monday and Thursdays, from 6:00 P.M. to 9:00 P.M. From research to coding, and from wireframing to native mobile design, They've overloaded the curriculum with the goal of making you a full-stack designer by the end of the course.",Adults,10 weeks,"$4,200","Adobe Photoshop, Adobe Illustrator, User Experience, Designing Interactions, Design Strategy, Research, Usability. Visual Design, Typography, Branding, 
Layout, Mobile Design, HTML, CSS, JavaScript, jQuery, Responsive Design",,,,,"Chicago, IL",,,crew@thedesignation.co,,
"Youth learning, in-person, workshops, robotics, pipeline, clubs, fellowship, mentors, internships, afterschool, project-based learning",The Disruption Department,http://thedisruptiondepartment.org/,"The Disruption Department is developing a pipeline for high-tech talent in St. Louis.  The program is modeled on the professional baseball farm system (started right here in St. Louis), in which teams invest time, expertise, and money to develop future stars at clear developmental levels. All students in St. Louis will have access to high-paying, fulfilling, and creative jobs, whether that be at the companies they go to work for or at the companies they launch on their own.  ","Ages 12-18, teachers",,,"Arduino, HTML, Ruby",8114 Pennsylvania Ave.,St. Louis,MO,63111,"St. Louis, MO",Gregory Hill,Co-founder & CEO,gregory@thedisruptiondepartment.org,(314) 467-0794,2011
"Youth learning, male, Black, high school, summer, weekends, Black founder, underrepresented",The Hidden Genius Project,http://www.hiddengeniusproject.org/,"The Hidden Genius Project (THGP) (nonprofit pending) provides black male youth in Oakland with the knowledge, skills, mentors and experiences to obtain and create technological jobs in this new, gloabl 21st century economy.  HGP provides an intensive 8-week summer program in Software Engineering, User Experience Design and Technology Entrepreneurship. There are also weekly learning sessions in the Fall and Spring.",Black males ages 13-17,"8-week summer session, weekly gatherings during school year",Free,,1750 Broadway,Oakland,CA,94612,"Oakland, CA",Jason Young,Founder,contact@hiddengeniusproject.org,,2012
"Adult learning, online, bootcamps, web development",The Maker Square,http://themakersquare.com/,"Maker Square is a 10-week immersive full-time web development training program located in Austin, TX training individuals with little to no programming experience to be entry level web developers. The program teaches you the full-stack from Ruby on Rails to Javascript to SQL and much more. The program has 3 foci: Learn, Immerse, and Grow. You learn web development, you get immersed into the MakerSquare community and you grow through our career services. The program does not offer a part-time or weekends-only course. ",Beginners,"10 weeks, 50 plus hours per week","$9,000 tuition; $2,000 scholarship for women if agree to Skype into elementary, middle, and high-school classrooms around the country to inspire the next generation of women in tech.","HTML5, CSS3, JavaScript, Ruby on Rails, Agile, APIs, AJAX, etc.",716 Congress Ave,Austin,TX,78701,"Austin, TX",Harsh Patel,"Co-Founder, Education Architect",hello@themakersquare.com,,2013
"Adult learning, online, mobile, certificate, entrepreneurship, web development, mobile, conference",The Next Web Academy,http://thenextweb.com/academy/,"The Next Web Academy online and live classes - get in touch with the people who push the bar when it comes to innovation and get answers that matter to you. From online marketing and mobile development to Q&A sessions with entrepreneurs. They all share their knowledge and experiences with you. After attending a course, you will receive a TNW Academy Certificate stating you successfully completed a course. After each online class a qualitative video recording of the presentation will be shared exclusively with you. This way you can watch it whenever you like.  Future classes include entrepreneurship, web development, and app development.",Various skill levels,Self-paced,Fee-based courses,Various,,,,,"Amsterdam, Netherlands",,,ana@tnwacademy.com,,2012
